"fish_id","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"0001FJ8MG5C40D027RP9KYDA9N","Udawalawe reservoir, Sri Lanka","Hemirhamphus limbatus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-07-01","1999-08-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","14",NA,"oedogonium",NA,"unknown"
"0001FJ8MG58V7MXZKAD426XCFQ","Udawalawe reservoir, Sri Lanka","Rasbora daniconius","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-07-01","1999-08-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","15",NA,"oedogonium",NA,"unknown"
"0001FJ8MG5HR3NP8899M633EA2","Udawalawe reservoir, Sri Lanka","Catla catla","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","2000-05-01","2000-06-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","16",NA,"oedogonium","*","unknown"
"0001FJ8MG5JNQXW8VMBPMA4J7E","Udawalawe reservoir, Sri Lanka","Labeo rohita","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","2000-05-01","2000-06-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","17",NA,"oedogonium","*","unknown"
"0001FJ8MG5T0FDPH8Z504HC4QN","Udawalawe reservoir, Sri Lanka","Oreochromis niloticus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","2000-05-01","2000-06-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","18",NA,"oedogonium","*","unknown"
"0001FJ8MG5YN495Y904XXWSQZ0","Udawalawe reservoir, Sri Lanka","Puntius dorsalis","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","2000-05-01","2000-06-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","19",NA,"oedogonium",NA,"unknown"
"0001FJ8MG5CVRRCGC6RVDVWW7N","Udawalawe reservoir, Sri Lanka","Etroplus suratensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","1",NA,"oocystis",NA,"unknown"
"0001FJ8MG5XHDW7KDGZJA6CBVA","Udawalawe reservoir, Sri Lanka","Etroplus suratensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","2",NA,"oocystis",NA,"unknown"
"0001FJ8MG5F9XTPMFS5YNB3PWS","Udawalawe reservoir, Sri Lanka","Etroplus suratensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","3",NA,"oocystis",NA,"unknown"
"0001FJ8MG55V6JYM7DMZWJ22P2","Udawalawe reservoir, Sri Lanka","Glossogobius giuris","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","4",NA,"oocystis",NA,"unknown"
"0001FJ8MG5DD8S9ES50BHDZ5X6","Udawalawe reservoir, Sri Lanka","Hemirhamphus limbatus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","5",NA,"oocystis",NA,"unknown"
"0001FJ8MG5QYQVPTW7H8QSH4KB","Udawalawe reservoir, Sri Lanka","Hemirhamphus limbatus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","6",NA,"oocystis",NA,"unknown"
"0001FJ8MG5T9NTXVB34JE35K41","Udawalawe reservoir, Sri Lanka","Puntius filamentosus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","7",NA,"oocystis",NA,"unknown"
"0001FJ8MG50KWJVKF7BA7ZWSP5","Udawalawe reservoir, Sri Lanka","Rasbora daniconius","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","8",NA,"oocystis",NA,"unknown"
"0001FJ8MG5RQQXQ95KSCD05X4P","Udawalawe reservoir, Sri Lanka","Amblypharyngodon melettinus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-07-01","1999-08-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","9",NA,"oocystis","*","unknown"
"0001FJ8MG5FX44JYN5P73PD8FE","Udawalawe reservoir, Sri Lanka","Amblypharyngodon melettinus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-07-01","1999-08-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","10",NA,"oocystis","*","unknown"
"0001FJ8MG55Z7790788ZRDEP84","Udawalawe reservoir, Sri Lanka","Glossogobius giuris","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-07-01","1999-08-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","11",NA,"oocystis",NA,"unknown"
"0001FJ8MG5N4CKJCKS8H7GX0CR","Udawalawe reservoir, Sri Lanka","Hemirhamphus limbatus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-07-01","1999-08-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","12",NA,"oocystis",NA,"unknown"
"0001FJ8MG5JJCFEMAM6P0AS6XF","Udawalawe reservoir, Sri Lanka","Hemirhamphus limbatus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-07-01","1999-08-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","13",NA,"oocystis",NA,"unknown"
"0001FJ8MG5C40D027RP9KYDA9N","Udawalawe reservoir, Sri Lanka","Hemirhamphus limbatus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-07-01","1999-08-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","14",NA,"oocystis",NA,"unknown"
"0001FJ8MG58V7MXZKAD426XCFQ","Udawalawe reservoir, Sri Lanka","Rasbora daniconius","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-07-01","1999-08-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","15",NA,"oocystis",NA,"unknown"
"0001FJ8MG5HR3NP8899M633EA2","Udawalawe reservoir, Sri Lanka","Catla catla","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","2000-05-01","2000-06-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","16",NA,"oocystis",NA,"unknown"
"0001FJ8MG5JNQXW8VMBPMA4J7E","Udawalawe reservoir, Sri Lanka","Labeo rohita","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","2000-05-01","2000-06-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","17",NA,"oocystis",NA,"unknown"
"0001FJ8MG5T0FDPH8Z504HC4QN","Udawalawe reservoir, Sri Lanka","Oreochromis niloticus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","2000-05-01","2000-06-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","18",NA,"oocystis","*","unknown"
"0001FJ8MG5YN495Y904XXWSQZ0","Udawalawe reservoir, Sri Lanka","Puntius dorsalis","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","2000-05-01","2000-06-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","19",NA,"oocystis",NA,"unknown"
"0001FJ8MG5CVRRCGC6RVDVWW7N","Udawalawe reservoir, Sri Lanka","Etroplus suratensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","1",NA,"pediastrum","2","unknown"
"0001FJ8MG5XHDW7KDGZJA6CBVA","Udawalawe reservoir, Sri Lanka","Etroplus suratensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","2",NA,"pediastrum","*","unknown"
"0001FJ8MG5F9XTPMFS5YNB3PWS","Udawalawe reservoir, Sri Lanka","Etroplus suratensis","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","3",NA,"pediastrum","*","unknown"
"0001FJ8MG55V6JYM7DMZWJ22P2","Udawalawe reservoir, Sri Lanka","Glossogobius giuris","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","4",NA,"pediastrum",NA,"unknown"
"0001FJ8MG5DD8S9ES50BHDZ5X6","Udawalawe reservoir, Sri Lanka","Hemirhamphus limbatus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","5",NA,"pediastrum",NA,"unknown"
"0001FJ8MG5QYQVPTW7H8QSH4KB","Udawalawe reservoir, Sri Lanka","Hemirhamphus limbatus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","6",NA,"pediastrum",NA,"unknown"
"0001FJ8MG5T9NTXVB34JE35K41","Udawalawe reservoir, Sri Lanka","Puntius filamentosus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","7",NA,"pediastrum","*","unknown"
"0001FJ8MG50KWJVKF7BA7ZWSP5","Udawalawe reservoir, Sri Lanka","Rasbora daniconius","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-02-01","1999-03-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","8",NA,"pediastrum",NA,"unknown"
"0001FJ8MG5RQQXQ95KSCD05X4P","Udawalawe reservoir, Sri Lanka","Amblypharyngodon melettinus","relative volume","percent",NA,NA,NA,NA,NA,NA,"no mention","1999-07-01","1999-08-01",NA,"reservoir","no mention","Weliange and Amarasinghe","2003","Asian Fisheries Science","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.","tbl 3","none","9",NA,"pediastrum","8","unknown"
